lifesat,peopletrust,freewill,takeadvan,married,childs,fightcountry,impdem,beatchild,wageearn,incomecat,sex,educ,sacsecvalr,resemavalr
1,0,1,3,1,0,1,10,1,0,1,0,1,27.8346,38.533298
4,0,7,6,1,2,1,10,3,0,2,1,1,55.410896,53.238701
1,0,4,8,1,2,1,10,7,0,4,0,9,13.1263,39.771999
10,0,10,9,0,0,1,10,1,0,3,1,7,23.639999,37.323997
10,0,9,9,1,1,0,10,7,1,7,1,9,42.378201,21
5,0,7,5,0,0,0,7,5,0,5,1,3,52.811199,38.43
4,0,8,5,1,3,0,8,6,1,7,1,5,47.764999,35.02
3,0,3,6,0,0,1,9,8,0,2,1,9,49.938801,32.52
2,0,3,6,1,0,1,9,7,0,3,0,5,28.4615,18.119999
1,0,5,7,1,3,0,9,9,1,3,1,5,34.039299,20.804001
8,0,8,1,1,3,1,10,6,1,8,1,5,11.5728,26.385302
8,1,9,9,1,2,1,10,5,0,5,0,9,33.676903,41.943298
1,0,1,8,1,2,1,10,1,0,1,1,2,25.7285,35.982002
2,0,8,8,1,1,1,10,1,0,1,0,9,25.0846,31.3333
1,0,10,1,1,3,1,10,1,0,1,0,9,39.070801,21
7,0,6,6,0,0,1,10,8,0,5,1,9,13.282999,18.119999
8,0,7,6,1,1,1,10,7,0,5,0,5,25.095499,18.119999
7,0,8,6,1,2,1,10,7,1,5,1,5,16.032999,18.119999
8,1,8,7,0,0,0,7,1,0,4,0,1,46.862499,49.472
8,1,2,10,1,0,1,9,1,1,4,1,1,13.1263,36.0853
4,0,4,2,0,0,1,9,4,1,4,1,3,28.049999,35.982002
10,0,7,8,0,0,1,10,1,0,5,1,9,30.737501,51.723999
3,1,7,7,1,2,1,10,1,1,4,1,5,20.014999,50.485302
1,0,1,1,1,0,1,10,1,1,3,1,9,36.7122,16.052
10,0,9,9,0,0,1,10,1,0,6,1,9,30.737501,55.133999
10,0,8,8,1,0,1,10,1,0,4,0,5,30.737501,44.195301
8,0,8,9,0,0,1,10,1,1,1,1,3,30.737501,58.647301
1,0,1,1,0,0,1,10,5,0,2,0,5,37.410797,11.3
5,0,5,4,1,1,0,5,4,0,3,0,1,15.876301,5.0099998
5,0,5,5,1,1,0,10,1,0,3,0,7,25.651199,23.92
1,0,7,7,0,0,1,7,2,0,7,0,5,47.764999,28.200001
3,0,6,6,1,3,0,7,7,1,6,1,3,47.764999,25.751999
3,0,6,6,0,0,1,7,1,0,6,1,5,54.862499,37.703999
3,0,6,6,1,0,0,9,1,1,6,1,1,40.876301,25.751999
2,1,7,5,0,0,1,10,1,0,5,1,5,20.014999,45.5373
4,1,3,6,1,3,1,10,1,1,5,1,5,20.014999,55.237301
2,1,2,9,0,0,1,10,1,0,5,0,9,33.507698,48.0373
