"","V161003","V161086","V161087","V161088","V161089","V161090","V161091","V161092","V161093","V161094","V161095","V161096","V161109","V161126","V161134A","V161178","V161181","V161184","V161187","V161189","V161198","V161201","V161295","V161361X","V162096","V162097","V162098","V162099","V162100","V162101","V162105"
"117",2,60,30,60,50,60,50,70,70,50,70,50,3,4,60,3,4,4,3,4,5,4,40,16,50,50,60,50,50,50,50
"118",1,85,1,70,61,85,31,95,70,75,75,5,0,2,55,7,1,1,1,2,3,1,32,7,70,75,75,90,15,30,20
"119",2,70,0,50,60,70,0,85,85,50,70,0,0,1,52,5,1,1,1,3,2,1,40,9,100,100,70,100,0,0,50
"120",2,63,0,12,85,68,0,85,31,6,81,21,5,1,60,7,1,1,1,1,1,1,20,21,98,98,96,98,15,37,36
"121",1,0,60,46,50,48,60,0,15,50,30,60,4,4,60,4,4,1,3,3,7,3,40,13,50,50,50,50,30,85,50
"122",1,90,0,16,10,75,2,97,85,25,80,20,1,2,52,5,4,2,1,1,1,1,30,20,100,85,70,85,60,40,50
"123",4,81,0,82,99,49,3,96,65,77,79,10,0,1,57,4,1,3,1,2,6,1,50,14,98,100,70,95,69,56,73
"124",4,0,100,0,0,0,100,0,0,0,0,100,1,5,50,4,7,5,3,6,7,1,40,21,0,0,100,100,52,100,100
"125",1,62,32,50,17,61,50,87,86,51,70,15,0,4,65,5,4,3,1,2,6,3,50,28,50,71,70,59,51,61,59
"126",2,0,100,70,3,1,100,11,3,0,0,100,1,6,42,1,5,5,1,7,6,5,40,17,10,15,71,69,55,100,33
"127",4,69,0,50,50,50,50,98,70,50,60,30,5,4,60,5,3,2,1,1,4,1,40,24,85,50,50,70,15,50,50
"128",2,30,0,60,50,60,0,70,40,60,15,15,1,4,55,4,2,1,3,5,4,1,40,28,60,40,50,50,50,30,50
"129",2,15,70,50,50,40,70,15,15,50,15,85,0,6,45,2,5,6,3,7,6,6,45,24,50,30,30,50,50,85,50
"130",1,15,85,50,50,50,85,50,30,50,50,50,3,3,45,6,5,2,1,3,2,2,40,19,70,60,50,85,40,50,50
"131",4,0,0,1,0,0,0,0,0,0,0,0,3,4,60,1,1,7,2,7,7,7,35,16,50,0,50,50,50,0,50
"132",3,70,15,50,50,15,70,100,85,50,100,0,1,1,55,5,2,1,1,2,3,1,40,26,85,100,50,85,40,0,30
"133",2,63,2,8,51,5,1,98,3,7,97,5,2,4,100,5,5,5,1,5,5,5,30,1,79,47,66,74,75,48,51
"134",3,61,1,0,99,51,2,85,32,51,56,0,4,2,71,7,1,1,1,3,1,1,40,18,77,85,63,71,15,0,32
"135",3,60,0,50,50,60,30,100,100,50,85,15,1,4,53,7,2,4,1,1,1,2,15,7,100,50,100,100,60,70,15
"136",2,1,10,55,50,50,20,53,35,50,45,60,2,5,51,3,3,2,3,5,5,2,40,17,20,35,60,65,10,50,48
"137",1,85,30,50,50,70,50,100,85,50,100,30,2,5,80,6,5,1,1,4,1,2,32,15,71,51,61,100,41,50,84
"138",2,70,30,50,50,60,40,85,60,60,50,50,1,4,55,4,4,1,1,3,7,2,45,22,60,70,50,60,50,60,50
"139",1,90,10,30,30,30,15,90,80,40,75,35,1,1,52,6,3,1,1,2,2,2,50,27,100,85,85,100,60,40,50
"140",2,0,100,0,0,0,100,0,0,0,0,60,3,6,49,4,4,5,3,4,4,3,50,17,17,2,4,84,52,68,65
"141",1,85,0,15,15,85,15,100,100,60,85,15,5,2,56,5,5,5,1,3,3,1,44,15,60,60,80,78,13,30,30
"142",2,70,0,15,85,60,0,85,60,30,60,0,0,1,49,7,3,1,1,2,1,1,45,25,100,79,92,100,30,29,41
"143",5,15,15,50,50,50,40,30,0,50,15,30,4,6,49,6,5,6,1,5,7,3,30,23,91,83,84,70,81,76,88
"144",2,0,89,50,0,0,90,0,15,50,0,100,2,6,46,5,7,7,3,6,7,5,40,19,30,0,17,85,50,90,50
"145",1,40,30,60,50,60,70,70,85,69,40,0,1,2,60,4,3,4,1,3,4,3,40,23,85,70,70,50,40,30,50
"146",1,40,1,50,50,52,31,85,85,49,40,13,0,2,51,4,4,1,1,5,3,2,40,17,85,70,10,90,10,40,50
"147",2,60,60,70,50,50,50,70,70,50,50,50,0,4,45,2,1,7,1,7,4,4,45,19,40,60,30,100,60,85,15
"148",3,95,0,85,50,75,0,90,85,85,60,30,3,2,48,5,1,2,1,4,2,2,18,20,100,80,75,70,40,30,40
"149",1,100,0,30,50,85,50,100,100,50,100,50,3,2,52,6,6,1,1,3,1,1,56,24,85,100,85,85,15,0,50
"150",3,0,85,50,50,50,50,30,50,50,40,60,1,5,50,3,4,5,3,5,6,4,50,26,50,30,70,99,61,71,50
"151",1,70,30,60,50,70,15,85,85,60,70,15,4,4,54,5,5,2,3,3,3,3,50,24,70,60,70,60,15,15,40
"152",3,40,0,50,77,46,50,68,61,46,55,32,6,2,53,4,1,1,3,2,2,2,49,24,50,76,63,51,51,51,50
"153",2,15,30,50,0,50,50,15,15,50,15,30,1,5,70,1,4,7,1,7,7,4,50,26,90,10,0,70,90,70,80
"154",1,99,0,1,1,60,2,100,98,0,99,0,1,2,52,7,4,1,1,1,1,1,50,27,100,100,100,100,100,40,100
"155",1,85,0,30,60,85,30,100,70,60,85,15,1,1,52,7,2,1,1,1,1,1,45,17,85,85,85,85,40,70,50
"156",2,85,0,30,50,70,15,100,85,30,70,15,1,2,46,5,2,2,1,3,3,2,45,26,50,70,60,50,40,40,50
"157",1,0,60,70,100,0,40,15,0,50,40,40,2,2,42,6,1,1,1,2,2,2,25,15,15,70,85,100,30,50,40
"158",2,60,5,70,55,75,55,80,80,50,60,30,1,2,70,5,3,2,3,3,3,2,15,17,71,87,84,84,6,2,2
"159",1,2,86,52,51,51,49,2,16,51,2,87,1,6,48,2,5,6,3,7,5,5,40,13,10,40,50,70,61,90,60
"160",2,60,0,60,40,50,30,100,40,50,70,15,3,3,52,4,4,2,1,3,4,3,50,16,69,71,56,79,44,34,43
"161",3,60,0,15,58,51,14,85,60,50,60,15,3,1,65,6,1,2,1,2,2,1,25,15,100,85,70,85,15,0,15
"162",4,0,85,50,50,30,60,0,15,50,15,85,0,6,50,1,4,7,2,7,6,4,50,21,40,5,60,60,40,85,50
"163",2,100,0,50,50,100,100,100,100,50,85,0,1,2,47,7,4,1,1,4,3,3,30,23,90,99,80,80,0,0,0
"164",1,60,40,50,50,60,40,85,50,50,70,30,1,5,55,3,4,4,3,4,4,2,48,21,50,40,61,100,31,41,41
"165",4,80,0,50,20,50,80,20,0,60,15,70,2,5,52,3,4,3,1,4,4,2,40,15,70,62,59,66,59,45,34
"166",3,15,15,50,50,50,15,50,15,50,50,50,2,6,68,3,4,7,3,6,3,2,65,23,90,90,50,90,50,90,90
"167",1,0,60,0,0,15,85,0,15,15,15,60,2,7,49,1,6,7,2,7,7,7,80,12,60,35,30,85,70,85,85
"168",2,15,30,50,50,40,70,60,15,50,40,60,1,5,51,2,5,2,1,6,6,3,50,6,41,42,41,51,51,61,61
"169",2,70,15,15,50,60,40,100,85,60,85,0,3,5,68,2,4,1,3,6,6,1,50,27,60,85,15,60,30,60,60
